Address,Age,City,Education,Employment,Fertility,FirstName,FullName,Gender,HairColor,Height,LastName,MiddleI,Race,Salary,State,Weight,Zip
2934 N. Oak Road,24,Lake Delton,GS,E,3,Esther,Esther N. Gibson,F,Brown,71.08,Gibson,N.,W,47.58,WI,160,95057
7964 N. Oak Road,50,Lakeview,PHD,C,3,Malachi,Malachi W. Graham,M,Brown,71.29,Graham,W.,W,56.5,VA,187,48620
40 E. 91st Street,66,Springfield,HS,U,3,Dustin,Dustin G. Bailey,M,Blonde,79.74,Bailey,G.,W,71.0,ID,185,83545
3761 S. Oak Road,76,Racine,4YD,E,1,Randy,Randy F. Phillips,M,Red,70.1,Phillips,F.,W,56.5,WI,205,44499
2881 S. Elm Street,38,Blackwater,HS,U,2,Aaron,Aaron J. Meyer,M,Black,65.2,Meyer,J.,W,65.0,MA,145,46197
4536 W. Lake Street,54,Thundera,HS,H,2,Jordynn,Jordynn M. Adams,F,Black,64.82,Adams,M.,B,47.58,GA,125,88219
7928 E. 84th Street,40,Valyria,MAS,U,0,Akemi,Akemi J. Tong,F,Black,62.89,Tong,J.,O,39.0,PA,148,29379
6167 E. 95th Blvd.,27,Sacramento,2YD,E,2,William,William E. Jackson,M,Brown,74.84,Jackson,E.,W,72.0,CA,150,16066
7242 N. 34 Street,58,King's Landing,HS,H,0,Devany,Devany M. Henry,F,Black,67.36,Henry,M.,B,41.34,MD,112,70472
1579 N. Townsend Road,30,Smalltown,GS,E,0,Kim,Kim N. Turner,F,Black,60.28,Turner,N.,W,42.9,MS,118,38793
8093 W. Hill Avenue,51,Balmora,HS,C,1,Hideo,Hideo C. Tsai,M,Black,68.75,Tsai,C.,O,65.0,MT,197,30787
7196 W. Elm Road,45,Atlantis,MAS,S,1,Kayden,Kayden C. Watson,M,Brown,70.63,Watson,C.,W,58.5,ME,163,92099
9471 S. Holton Avenue,35,Vice City,GS,C,2,Frank,Frank S. Jenkins,M,Blonde,66.95,Jenkins,S.,W,60.0,ND,212,12501
1207 E. North Street,24,Blackwater,2YD,E,1,Geraldine,Geraldine J. Kelly,F,Blonde,57.12,Kelly,J.,W,39.78,MN,137,74827
2825 W. Maple Blvd.,29,Atlantis,2YD,S,3,Marc,Marc L. Hamilton,M,Brown,69.21,Hamilton,L.,W,62.0,ND,175,55599
3370 N. Hill Street,52,Daytona Beach,GS,U,4,Andrew,Andrew T. Scott,M,Brown,72.75,Scott,T.,W,68.5,FL,217,53915
862 W. Elm Blvd.,52,Chico,PHD,L,1,Aaron,Aaron J. Johnston,M,Blonde,72.2,Johnston,J.,W,51.0,CA,170,17265
4401 N. 84th Street,27,Metropolis,HS,U,1,Eugene,Eugene J. Adams,M,Brown,72.15,Adams,J.,W,64.0,ID,161,91985
1622 S. Becher Road,49,Valyria,4YD,C,1,Nazmi,Nazmi Najjar,M,Black,67.33,Najjar, ,A,56.5,AR,201,12876
2820 E. Park Road,69,Faketown,MAS,S,1,Heather,Heather M. Foster,F,Blonde,64.17,Foster,M.,W,53.43,PA,124,91804
4841 E. Hill Avenue,19,South Park,GS,L,2,Robaire,Robaire D. Patterson,M,Black,67.52,Patterson,D.,B,68.5,AZ,177,19583
4393 N. 34 Street,24,Bedrock,4YD,L,0,Adaline,Adaline M. King,F,Black,69.9,King,M.,W,42.9,MD,154,33825
4331 W. 17th Street,75,Chico,4YD,S,0,Joshua,Joshua W. Graham,M,Brown,59.75,Graham,W.,W,68.5,CA,197,58751
1561 E. Washington Avenue,66,Fresno,4YD,S,3,Albert,Albert F. Brooks,M,Blonde,79.72,Brooks,F.,W,53.0,CA,182,49202
2976 W. Lake Road,75,Olympus,HS,E,0,Nancy,Nancy A. Brooks,F,Brown,61.53,Brooks,A.,W,55.38,ME,196,34568
5985 N. Hill Road,62,Metropolis,PHD,U,0,Barry,Barry W. Young,M,Brown,73.98,Young,W.,W,73.5,PA,162,48316
3205 N. Locust Street,63,Oldtown,4YD,E,2,Damian,Damian T. Graham,M,Blonde,70.27,Graham,T.,W,57.5,IL,182,51019
5443 N. 84th Street,22,Oldtown,GS,H,1,Johnathan,Johnathan J. Graham,M,Brown,67.14,Graham,J.,W,71.0,VT,144,72997
769 W. Lake Road,75,Springfield,MAS,L,3,Adryan,Adryan D. Ward,M,Black,65.9,Ward,D.,B,51.0,SD,171,75082
7305 W. Center Blvd.,36,Eerie,4YD,H,5,Jeremiah,Jeremiah T. Owens,M,Black,75.1,Owens,T.,B,62.0,KS,149,15986
5298 N. Lake Avenue,50,Buffalo,4YD,H,3,Danny,Danny C. Ward,M,Black,69.65,Ward,C.,W,63.5,NY,205,96020
3588 S. Maple Blvd.,56,Westworld,HS,S,0,Dorothy,Dorothy A. Jordan,F,Blonde,64.72,Jordan,A.,W,53.43,WY,155,79154
7368 S. 91st Street,67,Fort Myers,4YD,L,3,Isolda,Isolda A. Sanchez,F,Black,65.84,Sanchez,A.,H,39.0,FL,150,25664
4356 N. North Street,74,Chico,PHD,E,1,Jake,Jake C. Gray,M,Blonde,70.96,Gray,C.,W,72.0,CA,186,85170
3885 N. Oak Road,38,Westworld,2YD,U,0,Gardenia,Gardenia J. Alexander,F,Black,64.56,Alexander,J.,B,46.800000000000004,KY,159,79868
2509 S. Hill Avenue,35,King's Landing,PHD,L,1,Barbie,Barbie A. Fisher,F,Brown,62.51,Fisher,A.,W,49.92,GA,140,78541
1043 E. Center Street,36,River West,2YD,H,1,Betty,Betty C. Pfeifer,F,Black,62.93,Pfeifer,C.,W,50.7,IL,155,13151
331 N. Main Blvd.,22,New York,GS,U,4,Melvin,Melvin F. Bennett,M,Brown,73.69,Bennett,F.,W,72.0,NY,148,21652
5089 W. Cedar Avenue,41,Balmora,2YD,E,2,Dean,Dean J. Hamilton,M,Black,74.62,Hamilton,J.,W,61.0,IN,190,60531
7052 E. GreenField Avenue,43,New York,HS,U,1,Lauren,Lauren B. Nelson,F,Blonde,67.47,Nelson,B.,W,57.72,NY,175,21634
5953 W. Holton Avenue,54,King's Landing,HS,S,0,Tanner,Tanner G. Hall,M,Brown,70.31,Hall,G.,W,63.5,UT,202,40970
7520 W. Oak Street,67,Braavos,MAS,U,2,Cuifen,Cuifen M. Thao,F,Black,67.84,Thao,M.,O,57.330000000000005,MD,149,27209
6424 N. Townsend Road,37,Sacramento,4YD,H,0,Joe,Joe D. Roberts,M,Blonde,71.35,Roberts,D.,W,74.0,CA,185,12911
5913 N. Pearl Blvd.,39,Balmora,PHD,U,1,Shaquand,Shaquand J. Parker,F,Black,66.74,Parker,J.,B,39.78,VT,116,46455
2525 N. Wright Street,43,Olympus,GS,S,1,Vera,Vera L. Peterson,F,Brown,66.16,Peterson,L.,W,39.0,IN,140,17153
8874 E. Park Road,43,Blackwater,PHD,E,0,Shakeina,Shakeina J. Howard,F,Black,61.61,Howard,J.,B,39.78,LA,145,61446
4225 W. 75th Blvd.,63,New York,4YD,U,5,Annie,Annie D. Brown,F,Black,65.91,Brown,D.,W,47.58,NY,163,78710
8485 W. Pearl Street,63,Sunnydale,4YD,C,1,Gary,Gary A. Johnson,M,Blonde,75.71,Johnson,A.,W,65.0,IN,191,17799
7214 W. North Street,72,Blackwater,2YD,H,2,Beth,Beth A. Griffin,F,Black,58.03,Griffin,A.,W,57.330000000000005,OH,132,13829
2328 S. 84th Blvd.,63,Fresno,GS,C,3,Beverly,Beverly J. Stevens,F,Brown,61.37,Stevens,J.,W,47.58,CA,134,77971
7240 N. Holton Avenue,68,Waco,PHD,U,0,Elmer,Elmer J. Nichols,M,Brown,68.75,Nichols,J.,W,57.5,TX,155,12494
2650 N. Elm Street,33,Braavos,GS,L,3,Christina,Christina E. Jones,F,Brown,63.96,Jones,E.,W,42.9,CO,151,78385
3106 S. Wright Blvd.,56,Balmora,PHD,H,3,Dale,Dale D. Brown,M,Blonde,64.93,Brown,D.,W,50.0,GA,165,88391
2683 N. Lake Blvd.,42,Bedrock,2YD,H,0,Danica,Danica I. Weaver,F,Black,61.12,Weaver,I.,W,49.92,IA,143,14062
5721 W. Clarke Street,52,Sacramento,GS,S,3,Rebecca,Rebecca J. Harris,F,Brown,65.04,Harris,J.,W,44.07,CA,130,23649
107 S. High Street,36,San Antonio,PHD,C,0,Daniel,Daniel M. Gallegos,M,Black,69.42,Gallegos,M.,H,55.0,TX,177,26607
2070 N. Washington Street,52,Lakeview,4YD,S,1,Arlene,Arlene M. Sanders,F,Black,60.23,Sanders,M.,W,47.58,PA,173,52578
734 E. Lake Street,23,Epicburg,2YD,U,0,Gordon,Gordon E. Phillips,M,Red,65.13,Phillips,E.,W,58.5,OH,192,30677
6114 S. 95th Street,38,King's Landing,HS,C,5,Kelly,Kelly D. Turner,F,Blonde,70.49,Turner,D.,W,39.78,NC,167,58730
253 N. Lake Road,20,Braavos,HS,C,2,Garrett,Garrett E. Wagner,M,Blonde,73.98,Wagner,E.,W,57.5,VT,164,54644
7974 S. Townsend Road,37,Sacramento,HS,U,3,Anita,Anita J. Kelley,F,Black,66.72,Kelley,J.,W,53.43,CA,136,65269
15 S. Washington Blvd.,24,Tampa,2YD,U,1,Phyllis,Phyllis C. Watson,F,Brown,63.19,Watson,C.,W,46.800000000000004,FL,150,89762
8912 W. Townsend Road,39,Sunnydale,GS,C,1,Roberta,Roberta M. Wagner,F,Brown,63.25,Wagner,M.,W,50.7,IN,162,46205
8055 N. Holton Avenue,18,Winterfell,HS,L,5,Tyonna,Tyonna M. Harris,F,Black,62.83,Harris,M.,B,56.160000000000004,MA,129,72054
8628 W. Lake Avenue,26,Blackwater,GS,H,0,Alphonse,Alphonse D. King,M,Black,73.73,King,D.,B,60.0,NC,162,73036
2593 W. Oak Blvd.,31,Chico,2YD,H,3,Candi,Candi A. Young,F,Red,67.58,Young,A.,W,56.160000000000004,CA,185,89940
2047 S. High Blvd.,35,Sunnydale,PHD,U,0,Allyson,Allyson A. Kelly,F,Brown,56.88,Kelly,A.,W,42.9,OK,168,62761
6638 N. Elm Street,37,Springfield,GS,H,2,Dillon,Dillon D. Hill,M,Black,72.36,Hill,D.,W,63.5,VA,205,16611
2409 W. Arthur Street,46,Smalltown,2YD,E,2,Madison,Madison M. Daniels,F,Black,63.8,Daniels,M.,B,44.85,IL,113,36099
8339 N. Washington Avenue,26,South Park,HS,U,4,Elizabeth,Elizabeth J. Gray,F,Brown,70.83,Gray,J.,W,49.92,NC,144,22255
4976 W. High Blvd.,40,Atlantis,MAS,H,1,Cynthia,Cynthia A. Green,F,Brown,56.27,Green,A.,W,44.85,NM,157,23378
7945 E. Cedar Road,51,South Park,HS,L,1,Wanda,Wanda C. Anderson,F,Brown,64.49,Anderson,C.,W,57.330000000000005,SC,161,64222
8502 N. 95th Street,32,Blackwater,2YD,L,2,April,April M. Walker,F,Brown,64.98,Walker,M.,W,46.800000000000004,KY,113,30975
4419 W. 75th Street,47,Faketown,4YD,C,1,Shannon,Shannon M. Sanders,F,Brown,64.78,Sanders,M.,W,42.9,SC,152,95645
776 E. Washington Avenue,71,King's Landing,4YD,C,1,Cristóbal,Cristóbal J. Martinez,M,Black,73.71,Martinez,J.,H,68.5,NM,185,49647
6881 S. Wright Street,67,King's Landing,HS,C,0,Jonay,Jonay C. Castaneda,M,Black,67.34,Castaneda,C.,H,50.0,MS,198,69078
349 N. National Avenue,33,Springfield,MAS,S,2,Kason,Kason T. Jordan,M,Blonde,69.86,Jordan,T.,W,61.0,MD,194,12067
9022 S. Becher Road,45,Lake Delton,4YD,S,2,Andrea,Andrea J. Wells,F,Blonde,64.2,Wells,J.,W,41.34,WI,144,13130
7437 W. Oak Street,60,Metropolis,HS,H,3,Dolores,Dolores M. Fox,F,Brown,60.75,Fox,M.,W,56.160000000000004,GA,209,48978
3278 E. High Street,36,Fresno,2YD,S,3,Ezequiel,Ezequiel C. Torres,M,Black,65.27,Torres,C.,H,61.0,CA,174,62240
9341 N. Arthur Road,22,Fresno,HS,L,1,Kyle,Kyle J. Hill,M,Brown,69.42,Hill,J.,W,60.0,CA,222,28903
7495 S. Hill Avenue,47,Winterfell,4YD,L,1,Andres,Andres S. Wallace,M,Black,67.82,Wallace,S.,W,74.0,MA,147,92901
9164 W. Arthur Road,62,Vice City,PHD,C,4,Juanita,Juanita A. Reynolds,F,Red,61.79,Reynolds,A.,W,55.38,MT,156,68898
7668 E. Hill Avenue,43,Atlantis,HS,L,2,Louis,Louis G. Perry,M,Blonde,72.06,Perry,G.,W,50.0,CT,163,27146
1096 E. Cedar Avenue,40,Balmora,HS,C,2,Santana,Santana R. Woods,M,Black,72.53,Woods,R.,B,62.0,ME,216,19740
5146 N. Locust Street,26,Metropolis,4YD,U,2,Baron,Baron A. Watson,M,Black,69.12,Watson,A.,B,55.0,GA,176,26057
5103 E. Garfield Road,61,Sunnydale,PHD,L,1,Jeremiah,Jeremiah C. Walker,M,Black,65.59,Walker,C.,B,55.0,KY,157,80476
253 S. Washington Avenue,63,Chico,PHD,S,3,Glen,Glen G. Fisher,M,Black,63.09,Fisher,G.,W,55.0,CA,184,36583
7588 W. Cedar Avenue,20,Sunnydale,HS,U,0,Jill,Jill M. Collins,F,Brown,62.58,Collins,M.,W,42.9,NC,148,56110
2947 N. Center Street,68,Faketown,2YD,E,2,Michael,Michael C. Stone,M,Red,69.2,Stone,C.,W,73.5,NH,142,60591
603 N. Pearl Road,69,Orlando,2YD,U,2,Ty,Ty D. Brown,M,Black,67.76,Brown,D.,W,58.5,FL,218,74721
565 S. Pearl Road,33,Vice City,GS,S,3,Paula,Paula J. Howard,F,Blonde,66.69,Howard,J.,W,49.53,MN,193,84344
3107 W. Garfield Road,30,Fort Myers,4YD,U,7,Norma,Norma C. Lee,F,Blonde,65.6,Lee,C.,W,42.9,FL,144,71750
5751 W. Clarke Blvd.,51,Winterfell,GS,H,2,Bernadette,Bernadette E. Turner,F,Brown,61.57,Turner,E.,W,46.800000000000004,SC,202,89773
1030 S. Arthur Street,25,Thundera,4YD,C,2,Ninetta,Ninetta A. Perez,F,Black,59.68,Perez,A.,H,49.92,PA,183,58521
6510 S. Hill Avenue,38,Valyria,GS,L,0,Jaxon,Jaxon F. Wood,M,Black,68.9,Wood,F.,W,62.0,MI,191,82570
8082 S. Oak Blvd.,52,King's Landing,4YD,H,2,Fernando,Fernando C. Howard,M,Blonde,73.91,Howard,C.,W,65.0,AR,184,82540
3680 S. Holton Avenue,36,Sacramento,GS,S,2,Diane,Diane J. Bell,F,Brown,67.8,Bell,J.,W,42.9,CA,166,30108
7290 E. Becher Road,37,Blackwater,HS,H,0,Veronica,Veronica L. Foster,F,Black,70.09,Foster,L.,W,55.38,AR,116,83167
5977 N. Center Street,59,New York,2YD,C,1,Shirley,Shirley M. Stevens,F,Brown,70.69,Stevens,M.,W,47.58,NY,135,81050
4439 E. 95th Blvd.,21,Vice City,GS,S,5,Analia,Analia M. Hernandez,F,Black,64.4,Hernandez,M.,H,44.07,CO,126,49759
1675 N. Garfield Road,55,Lakeview,MAS,S,4,Russell,Russell F. Taylor,M,Brown,72.23,Taylor,F.,W,53.0,ID,140,13542
6859 N. Cedar Blvd.,44,Thundera,HS,L,3,Jonah,Jonah D. Wells,M,Brown,71.12,Wells,D.,W,74.0,GA,181,16953
5239 E. 95th Street,60,Dawnstar,HS,L,0,Marlene,Marlene E. Alexander,F,Blonde,61.99,Alexander,E.,W,39.0,NC,130,90079
6149 S. Pearl Road,40,Atlantis,MAS,U,1,Nancy,Nancy D. Miller,F,Blonde,66.59,Miller,D.,W,47.58,CO,136,15040
6834 E. Elm Street,19,Fresno,HS,E,0,Alberta,Alberta J. Alexander,F,Red,68.01,Alexander,J.,W,39.0,CA,179,89030
6525 S. Elm Road,46,River West,GS,U,2,Tara,Tara A. Olson,F,Brown,62.3,Olson,A.,W,47.58,GA,162,44056
2754 N. 84th Blvd.,53,Winterfell,GS,S,1,Howard,Howard T. Reynolds,M,Brown,62.99,Reynolds,T.,W,61.0,MS,153,82471
9124 S. Clarke Street,47,Bedrock,2YD,L,3,Fulgencio,Fulgencio G. Colon,M,Black,63.77,Colon,G.,H,68.5,AL,162,88376
8345 S. Washington Road,61,New York,2YD,C,2,Willie,Willie A. Long,M,Blonde,72.54,Long,A.,W,73.5,NY,174,86091
5562 S. National Avenue,27,Vice City,GS,C,1,Lataya,Lataya M. Hamilton,F,Black,68.03,Hamilton,M.,B,46.800000000000004,IL,116,35325
7993 E. Cedar Street,42,Midland,2YD,C,3,Stanley,Stanley C. Reynolds,M,Brown,70.98,Reynolds,C.,W,58.5,TX,141,78714
5873 N. Hill Road,56,Bedrock,2YD,H,0,Israel,Israel R. Burns,M,Blonde,73.25,Burns,R.,W,56.5,MA,147,72271
8677 W. 17th Street,65,Sunnydale,4YD,H,0,Gina,Gina M. Anderson,F,Brown,62.93,Anderson,M.,W,42.9,OH,126,34683
3054 E. Lake Avenue,72,Faketown,4YD,U,2,Martha,Martha M. Johnston,F,Brown,60.42,Johnston,M.,W,56.160000000000004,ME,157,42420
7848 S. Arthur Street,66,Balmora,4YD,C,2,Gina,Gina M. Hill,F,Brown,64.91,Hill,M.,W,42.9,NJ,179,27975
684 N. Townsend Road,71,Thundera,PHD,S,1,Ella,Ella E. Hamilton,F,Brown,62.36,Hamilton,E.,W,57.330000000000005,MA,151,51968
9524 E. 91st Street,72,Los Angeles,2YD,C,0,Gordon,Gordon D. Howard,M,Brown,67.64,Howard,D.,W,51.0,CA,189,13532
1156 S. Clarke Street,30,River West,PHD,S,3,Christopher,Christopher G. Bell,M,Blonde,70.55,Bell,G.,W,60.0,SC,150,25834
3290 E. Pearl Road,26,Thundera,HS,E,1,Gerardokannon,Gerardokannon E. Henderson,M,Brown,68.14,Henderson,E.,W,53.0,HI,205,53867
5367 S. 75th Street,31,Milwaukee,2YD,U,3,Rita,Rita M. Peters,F,Brown,66.59,Peters,M.,W,42.9,WI,159,89606
4417 W. Park Blvd.,35,Faketown,PHD,L,6,Willie,Willie F. Barnes,M,Brown,68.46,Barnes,F.,W,64.0,VA,176,86772
5833 N. Hill Road,38,Sacramento,4YD,H,1,Ryan,Ryan F. Powell,M,Brown,69.53,Powell,F.,W,65.0,CA,179,17380
2041 N. Arthur Road,51,Gotham,GS,S,2,Heather,Heather N. Phillips,F,Blonde,67.02,Phillips,N.,W,45.63,SC,147,64035
0 E. Cedar Road,54,New York,4YD,E,3,Izan,Izan J. Juarez,M,Black,73.89,Juarez,J.,H,58.5,NY,152,57331
9152 N. Pearl Blvd.,62,Madison,PHD,C,2,Aranza,Aranza I. Morales,F,Black,65.38,Morales,I.,H,56.160000000000004,WI,165,86158
7905 W. National Avenue,47,Blackwater,2YD,H,0,Glen,Glen D. James,M,Red,73.58,James,D.,W,51.0,SD,168,21650
795 W. Pine Road,21,Metropolis,GS,S,1,Lloyd,Lloyd J. Johnston,M,Blonde,69.41,Johnston,J.,W,71.0,RI,171,44268
6742 E. Arthur Road,43,Waco,4YD,L,4,Yanika,Yanika R. Harris,F,Black,65.15,Harris,R.,B,42.9,TX,123,46586
137 N. Maple Blvd.,33,Los Angeles,PHD,C,0,Agnes,Agnes G. Jenkins,F,Blonde,62.42,Jenkins,G.,W,46.800000000000004,CA,139,77988
7404 S. Locust Street,75,Fresno,4YD,E,3,Pala,Pala C. Fasthorse,F,Black,59.85,Fasthorse,C.,I,39.78,CA,184,74580
5528 N. Washington Avenue,47,South Park,MAS,C,2,Bernadina,Bernadina E. Cruz,F,Black,67.81,Cruz,E.,H,46.800000000000004,WA,142,65779
3606 S. Oak Street,38,Daytona Beach,4YD,L,2,Cole,Cole L. Thomas,M,Brown,68.09,Thomas,L.,W,71.0,FL,175,59100
1825 W. Townsend Road,29,Milwaukee,2YD,S,1,Audrey,Audrey G. Harrison,F,Blonde,72.22,Harrison,G.,W,41.34,WI,165,11605
7872 W. Elm Street,41,South Park,4YD,H,0,Bernice,Bernice M. Owens,F,Black,60.79,Owens,M.,W,53.43,WY,127,55720
789 S. 84th Street,35,Gotham,MAS,E,2,Bernard,Bernard M. Morgan,M,Brown,68.77,Morgan,M.,W,72.0,LA,179,81159
4634 S. Washington Road,40,Oldtown,PHD,H,1,Paula,Paula A. Fox,F,Black,58.38,Fox,A.,W,45.63,IA,135,39886
516 W. Chambers Street,72,Daytona Beach,4YD,L,2,Johnny,Johnny M. Walker,M,Brown,70.6,Walker,M.,W,64.0,FL,174,87194
3197 S. North Street,37,Smalltown,PHD,C,2,Cofa,Cofa T. Ross,M,Black,60.93,Ross,T.,B,71.0,HI,169,42305
153 W. 91st Street,56,San Antonio,PHD,H,3,Nicole,Nicole A. Powell,F,Brown,64.43,Powell,A.,W,42.9,TX,137,30908
7651 W. Hill Road,61,Madison,PHD,U,1,Chloe,Chloe N. Simmons,F,Black,58.91,Simmons,N.,B,42.9,WI,118,52740
1606 W. 75th Blvd.,42,Bedrock,4YD,L,1,Sihu,Sihu G. Gonzales,F,Black,67.28,Gonzales,G.,I,53.43,ME,154,59717
6851 W. Pearl Road,52,Vice City,2YD,H,0,Debbie,Debbie I. Jenkins,F,Brown,60.26,Jenkins,I.,W,45.63,PA,119,84461
6928 E. Maple Street,21,Sacramento,HS,C,1,Fred,Fred J. King,M,Red,68.38,King,J.,W,55.0,CA,164,50976
2634 S. Pearl Road,57,Blackwater,2YD,L,1,Lydia,Lydia A. Meyer,F,Brown,67.62,Meyer,A.,W,49.92,LA,129,21543
2394 E. Pine Road,70,Daytona Beach,MAS,E,4,Teresa,Teresa B. Kelley,F,Red,63.12,Kelley,B.,W,56.160000000000004,FL,143,23229
7895 W. Hill Avenue,43,Epicburg,2YD,C,3,Lillie,Lillie A. Clark,F,Blonde,61.33,Clark,A.,W,45.63,PA,158,23831
1233 N. Clarke Street,47,Metropolis,4YD,C,0,Fa,Fa S. Chung,M,Black,72.4,Chung,S.,O,56.5,NC,164,72609
4231 S. Becher Street,39,Chico,GS,U,2,Hernando,Hernando E. Gonzales,M,Black,62.9,Gonzales,E.,H,58.5,CA,158,28791
4767 S. Chambers Street,39,River West,MAS,S,0,April,April D. Hall,F,Brown,60.05,Hall,D.,W,48.36,MA,184,57222
6706 W. Lake Street,65,Fresno,GS,S,3,Marlene,Marlene J. Collins,F,Blonde,65.67,Collins,J.,W,49.92,CA,125,33736
2954 E. Park Street,49,Metropolis,PHD,C,0,Damien,Damien C. Stone,M,Black,69.33,Stone,C.,W,55.0,MN,166,89252
2375 S. Park Blvd.,60,Bedrock,2YD,H,1,Brad,Brad D. Rogers,M,Blonde,74.74,Rogers,D.,W,68.5,AL,241,35621
7163 S. 17th Blvd.,49,Blackwater,GS,U,1,Brad,Brad J. Stevens,M,Black,71.07,Stevens,J.,W,74.0,PA,168,38635
7016 E. 91st Blvd.,38,Oldtown,HS,E,2,Haruko,Haruko G. Yi,F,Black,70.21,Yi,G.,O,39.78,WA,145,14140
858 W. Wright Street,33,Buffalo,2YD,E,0,Rebecca,Rebecca A. Harrison,F,Red,70.37,Harrison,A.,W,48.36,NY,116,77916
6839 E. Washington Road,24,Metropolis,2YD,C,1,Max,Max R. Thompson,M,Red,73.87,Thompson,R.,W,55.0,OK,167,64713
1832 N. Becher Street,66,Vice City,4YD,S,0,Zaki,Zaki Sleiman,M,Black,75.43,Sleiman, ,A,72.0,IN,165,53688
3418 W. Hill Avenue,31,King's Landing,PHD,L,2,Amber,Amber A. White,F,Brown,65.7,White,A.,W,47.58,LA,180,32006
3497 E. National Avenue,50,Oldtown,MAS,H,3,Adaline,Adaline E. Rose,F,Brown,64.37,Rose,E.,W,42.9,MN,122,80199
6096 E. North Street,70,Springfield,2YD,C,2,Kadisha,Kadisha J. Hill,F,Black,62.98,Hill,J.,B,42.9,MN,154,48973
802 S. 91st Street,35,Faketown,2YD,U,2,Jessie,Jessie M. Baker,F,Brown,60.4,Baker,M.,W,44.07,WY,132,40985
4036 S. Pearl Road,39,Buffalo,GS,L,4,Chantoya,Chantoya M. Watkins,F,Black,66.35,Watkins,M.,B,57.330000000000005,NY,163,71509
3547 E. National Avenue,45,King's Landing,PHD,U,2,Kelly,Kelly M. Brown,F,Blonde,61.67,Brown,M.,W,39.78,NJ,186,28257
9194 W. Holton Avenue,19,Braavos,GS,L,2,Brendan,Brendan A. Mcdonald,M,Blonde,72.67,Mcdonald,A.,W,61.0,KY,145,66305
2972 N. Oak Road,47,Sunnydale,MAS,C,0,Paula,Paula H. Scott,F,Red,58.49,Scott,H.,W,44.07,MN,181,89341
8090 S. Elm Street,71,Epicburg,PHD,H,3,Rafael,Rafael G. Velasquez,M,Black,70.08,Velasquez,G.,H,72.0,AK,202,92662
7877 W. Chambers Blvd.,55,Epicburg,4YD,U,1,Aarón,Aarón C. Rodriguez,M,Black,69.84,Rodriguez,C.,H,65.0,NC,166,38388
8139 E. Park Blvd.,43,Milwaukee,MAS,S,0,Elaine,Elaine M. Martin,F,Red,59.56,Martin,M.,W,44.85,WI,177,75106
8298 W. Lake Road,43,Casper,MAS,H,2,Benjamín,Benjamín G. Silva,M,Black,61.67,Silva,G.,H,58.5,FL,153,20463
3443 N. Arthur Road,47,River West,4YD,U,3,Elaine,Elaine M. Rose,F,Blonde,65.91,Rose,M.,W,44.85,MA,142,90216
8986 S. Becher Blvd.,76,Sacramento,MAS,L,1,Warren,Warren G. Meyer,M,Brown,61.04,Meyer,G.,W,65.0,CA,149,60226
8197 S. Cedar Avenue,55,Springfield,2YD,S,1,Griffin,Griffin C. Gray,M,Brown,73.93,Gray,C.,W,74.0,TN,153,66114
7773 W. Park Blvd.,53,Smalltown,MAS,C,1,Brett,Brett L. Myers,M,Brown,71.89,Myers,L.,W,55.0,OH,158,53824
6647 W. Park Street,55,Olympus,PHD,L,0,Jalen,Jalen W. Thompson,M,Black,71.79,Thompson,W.,B,60.0,WV,167,18745
6873 W. 91st Street,52,Blackwater,4YD,L,2,Brendan,Brendan D. Cox,M,Black,72.77,Cox,D.,W,64.0,NJ,158,54841
5004 N. Locust Street,31,Dawnstar,GS,H,0,Sally,Sally L. Meyer,F,Brown,65.43,Meyer,L.,W,44.07,IL,143,86108
6102 N. Maple Street,69,Vice City,PHD,C,3,Desreta,Desreta A. Patterson,F,Black,70.16,Patterson,A.,B,46.800000000000004,ID,148,26933
3663 N. Park Street,41,Mordor,HS,U,2,Ebony,Ebony A. Gibson,F,Black,64.27,Gibson,A.,B,39.78,AZ,179,24976
6508 N. National Avenue,51,Smalltown,PHD,E,3,Chianna,Chianna D. White,M,Black,67.59,White,D.,I,51.0,PA,211,53166
5429 S. 91st Blvd.,54,Eerie,GS,E,0,Cofa,Cofa A. Robinson,M,Black,67.42,Robinson,A.,B,58.5,IL,165,69418
8496 E. Lake Avenue,63,Waco,MAS,E,6,Edna,Edna R. Adams,F,Red,61.73,Adams,R.,W,41.34,TX,135,63838
2284 N. National Avenue,32,Green Bay,GS,L,2,Cheryl,Cheryl N. Gray,F,Blonde,61.67,Gray,N.,W,48.36,WI,126,41529
5192 S. Clarke Street,52,Tampa,MAS,S,3,Christopher,Christopher T. Phillips,M,Brown,68.4,Phillips,T.,W,55.0,FL,162,82349
2629 W. Cedar Road,38,South Park,GS,U,2,Danielle,Danielle E. Barnes,F,Red,66.54,Barnes,E.,W,57.330000000000005,GA,117,76816
565 S. Pearl Road,55,Buffalo,MAS,S,1,Skyler,Skyler A. Lee,M,Brown,71.13,Lee,A.,W,50.0,NY,201,47214
8864 E. Elm Blvd.,54,Gotham,HS,E,1,Jacqueline,Jacqueline E. Myers,F,Brown,60.6,Myers,E.,W,44.07,CO,111,25418
3990 E. 17th Blvd.,21,Los Angeles,2YD,E,2,Hyacinth,Hyacinth E. Tucker,F,Black,62.78,Tucker,E.,B,46.800000000000004,CA,223,82934
